half,time,team,event,away_score,home_score
2,2:05,Baylor,Mitchell Paul Steal.,48,91
2,2:04,Arkansas PB,Foul on AJ Stredic.,48,91
2,2:04,Baylor,Mitchell Paul made Free Throw.,48,92
2,2:04,Baylor,Mitchell Paul missed Free Throw.,48,92
2,2:04,Arkansas PB,Amadou Fall Defensive Rebound.,48,92
2,1:51,Arkansas PB,Gabriel Vargas Turnover.,48,92
2,1:51,Baylor,Mitchell Paul Steal.,48,92
2,1:48,Baylor,Mitchell Paul made Layup.,48,94
2,1:26,Arkansas PB,Omar Parchman missed Layup.,48,94
2,1:26,Baylor,Zach Loveday Block.,48,94
2,1:26,Baylor,Zach Loveday Defensive Rebound.,48,94
2,1:16,Baylor,Austin Sacks missed Three Point Jumper.,48,94
2,1:16,Arkansas PB,Brandon Brown Defensive Rebound.,48,94
2,1:06,Arkansas PB,Brandon Brown made Layup.,50,94
2,0:48,Baylor,Jordan Turner made Three Point Jumper. Assisted by Dale Bonner.,50,97
2,0:33,Arkansas PB,Travonta Doolittle made Layup.,52,97
2,0:19,Baylor,Jordan Turner missed Three Point Jumper.,52,97
2,0:19,Baylor,Mitchell Paul Offensive Rebound.,52,97
2,0:16,Baylor,Mitchell Paul made Jumper.,52,99
2,0:07,Arkansas PB,Brandon Brown missed Layup.,52,99
2,0:07,Arkansas PB,Brandon Brown Offensive Rebound.,52,99
2,0:07,Arkansas PB,Brandon Brown made Two Point Tip Shot.,54,99
2,0:00,Baylor,End of Game,54,99
